Titulo,EpVistos,NoEpisodios,Imagen
My Hero Academia,139,139,images/1.jpg
Kimetsu no Yaiba,56,56,images/2.jpg
Vinland Saga,48,48,images/3.webp
One Piece,1093,1103,images/4.jpeg
Spy x Family,17,37,images/5.webp
Hunter x Hunter,146,146,images/6.jpg
Solo Leveling,12,12,images/7.jpg
Monster,74,74,images/8.jpg
Your Lie in April,17,22,images/9.jpg
Kotaro vive solo,
One Punch Man,
Kaiju No.8,
Viral Hit,5,5,
Haikyu!!,
Mushoku Tensei Jobless Reincarnation,
Wind Breaker,
Tokyo Revngers,
Tokyo Ghoul,
Blue Lock,
Go Go Loser Ranger!,1,
Nanatsu No Taizai,86,100,
Blac Clover,
Mob Psycho 100,
Dr. Stone,
Jigokuraku Hell's Paradise,
Jujutsu Kaisen,
Chainsaw Man,
Danganronpa: The Animation,13,13,
Mashle: Magic and Muscles,
Heavenly Delusion,7
My home hero,4
Zom 100: Bucket List of the Dead,12,12
Record of Ragkarok,
Ranking of Kings,
Death Note,
Monsters el infierno del dragón,
Attack On Titan,
Assasination Clasroom,
Pluto,0,8,
Tiger Mask W,0,38,
